,Feature,Accuracy,Discrimination,F
0,Prior Count,1.2646389356711958,5.211163E+04,0.7435226807906885
1,Age,1.2350367795186734,5.182029E+04,0.7168339181807367
2,Charge Degree,1.0837874225845625,4.201912E+04,0.6635962234531956
3,Length of Stay,1.0946702805343584,5.135871E+04,0.5810831836122219
4,Gender,0.9945149357676446,4.192197E+04,0.5752952824592676
