,Eliminating Feature,Accuracy (%),Calibration (%)
0,Prior Count,58.5781990521327,6.71521942110177
1,Length of stay,66.1611374407583,1.5032679738562038
2,Sex,65.87677725118483,1.1914098972922504
3,None,66.91943127962085,0.6274509803921635
4,Age,63.60189573459716,0.5154061624649819
5,Charge Degree,67.01421800947868,0.46872082166200535
